Date,Cu 1kg (0),Cu 1kg (1),Cu 1kg (2),Cu 10lb (0),Cu 10lb (1),Cu 10lb (2),Pt 1oz 2017 (0),Pt 1oz 2017 (1),Pt 1oz 2017 (2),Pt 1oz (0),Pt 1oz (1),Ag 1oz (0),Ag 1oz (1),Ag 1oz (2),Ag 1oz (3),Ag 1oz x20 (0),Ag 1oz x20 (1),Ag 1oz x20 (2),Ag 1oz x500,Ag 1kg (0),Ag 1kg (1),Ag 5kg (0),Ag 5kg (1),Au 1oz (0),Au 1oz (1),Au 1oz (2)
2017-02-18,$14.99,$13.99,$12.99,$69.00,$66.00,$64.00,$1093.99,,,$1183.99,$1173.99,$21.45,$21.15,$20.85,$20.55,$427.00,$421.00,$415.00,$10375.00,$634.55,$628.55,$3378.24,$3278.24,$1304.51,$1299.51,$1294.51
2017-02-19,$14.99,$13.99,$12.99,$69.00,$66.00,$64.00,$1093.99,,,$1183.99,$1173.99,$21.45,$21.15,$20.85,$20.55,$427.00,$421.00,$415.00,$10375.00,$634.55,$628.55,$3378.24,$3278.24,$1304.54,$1299.54,$1294.54
2017-02-20,$14.99,$13.99,$12.99,$69.00,$66.00,$64.00,$1095.94,,,$1185.94,$1175.94,$21.52,$21.22,$20.92,$20.62,$428.40,$422.40,$416.40,$10410.00,$636.80,$630.80,$3389.49,$3289.49,$1307.46,$1302.46,$1297.46
2017-02-21,$14.99,$13.99,$12.99,$69.00,$66.00,$64.00,$1106.74,$1101.74,$1096.74,$1181.74,$1171.74,$21.48,$21.18,$20.88,$20.58,$427.60,$421.60,$415.60,$10390.00,$635.51,$629.51,$3383.06,$3283.06,$1306.19,$1301.19,$1296.19
2017-02-22,$14.99,$13.99,$12.99,$69.00,$66.00,$64.00,$1108.24,$1103.24,$1098.24,$1183.24,$1173.24,$21.44,$21.14,$20.84,$20.54,$426.80,$420.80,$414.80,$10370.00,$634.23,$628.23,$3376.63,$3276.63,$1302.92,$1297.92,$1292.92
2017-02-23,$14.99,$13.99,$12.99,$69.00,$66.00,$64.00,$1118.49,$1113.49,$1108.49,$1193.49,$1183.49,$21.63,$21.33,$21.03,$20.73,$429.60,$423.60,$417.60,$10440.00,$640.33,$634.33,$3407.17,$3307.17,$1303.02,,
2017-02-24,$15.99,$14.99,$13.99,$69.00,$66.00,$64.00,$1132.99,$1127.99,$1122.99,$1207.99,$1197.99,$21.81,$21.51,$21.21,$20.91,$433.20,$427.20,$421.20,$10530.00,$646.12,$640.12,$3436.11,$3336.11,$1310.83,,
2017-02-25,$15.99,$14.99,$13.99,$69.00,$66.00,$64.00,$1135.99,$1130.99,$1125.99,$1210.99,$1200.99,$21.82,$21.52,$21.22,$20.92,$433.40,$427.40,$421.40,$10535.00,$646.44,$640.44,$3437.71,$3337.71,$1309.69,,
2017-02-26,$15.99,$14.99,$13.99,$69.00,$66.00,$64.00,$1135.99,$1130.99,$1125.99,$1210.99,$1200.99,$21.82,$21.52,$21.22,$20.92,$433.40,$427.40,$421.40,$10535.00,$646.44,$640.44,$3437.71,$3337.71,$1309.69,,
2017-02-27,$15.99,$14.99,$13.99,$69.00,$66.00,$64.00,$1147.99,$1142.99,$1137.99,$1222.99,$1212.99,$21.89,$21.59,$21.29,$20.99,$434.80,$428.80,$422.80,$10570.00,$648.69,$642.69,$3448.97,$3348.97,$1312.21,,
2017-03-01,$15.99,$14.99,$13.99,$69.00,$66.00,$64.00,$1124.99,$1119.99,$1114.99,$1199.99,$1189.99,$21.89,$21.59,$21.29,$20.99,$434.80,$428.80,$422.80,$10570.00,$648.69,$642.69,$3448.97,$3348.97,$1298.68,,
